startup_id,month,months_since_onboard,total_revenue,retained_revenue,new_revenue,expansion_revenue,resurrected_revenue,churned_revenue,contraction_revenue,quick_ratio,gross_retention_pct,net_churn_pct
S002,2025-10-01,18,5832.15,5372.56,284.32,505.09,70.39,143.03,201.63,2.49,94.0,-9.0
S002,2025-11-01,19,6335.85,5566.44,254.57,373.41,62.76,111.86,153.85,2.6,95.4,-7.3
S002,2025-12-01,20,5527.77,5920.48,297.51,434.99,58.68,189.84,225.53,1.9,93.4,-5.9
S003,2024-07-01,1,585.16,170.76,14.2,15.11,3.38,9.81,13.77,1.39,87.9,-4.7
S003,2024-08-01,2,1078.52,517.26,20.43,47.28,3.77,24.56,43.34,1.05,88.4,-0.6
S003,2024-09-01,3,2013.74,900.68,22.26,49.41,12.06,60.93,116.91,0.47,83.5,8.7
S003,2024-10-01,4,2143.75,1735.53,41.84,63.8,19.81,124.11,154.1,0.45,86.2,7.6
S003,2024-11-01,5,2514.59,1816.0,79.06,88.54,18.06,144.74,183.01,0.57,84.7,6.6
S003,2024-12-01,6,1593.69,2187.19,13.39,31.72,3.01,173.71,153.69,0.15,87.0,11.1
S003,2025-01-01,7,1972.09,1327.13,28.38,48.95,3.19,98.31,168.25,0.3,83.3,11.7
S003,2025-02-01,8,1701.34,1776.79,26.49,78.11,16.99,66.64,128.67,0.62,90.1,3.7
S003,2025-03-01,9,1995.28,1429.75,54.04,69.79,8.38,114.32,157.26,0.49,84.0,8.2
S003,2025-04-01,10,1700.38,1827.46,30.68,57.05,9.59,74.44,93.38,0.58,91.6,3.5
S003,2025-05-01,11,1472.68,1485.42,35.9,48.13,3.11,72.65,142.31,0.41,87.4,7.5
S003,2025-06-01,12,1282.52,1283.49,26.8,41.19,8.73,79.85,109.34,0.41,87.2,7.6
S003,2025-07-01,13,1264.53,1076.6,18.04,53.78,4.88,86.99,118.93,0.37,83.9,10.1
S003,2025-08-01,14,1253.02,1098.75,17.84,54.51,7.01,64.81,100.96,0.48,86.9,6.8
S003,2025-09-01,15,1203.49,1135.44,26.06,30.32,3.05,47.54,70.04,0.51,90.6,4.6
S003,2025-10-01,16,1394.82,1056.87,31.43,58.01,12.07,54.11,92.51,0.69,87.8,3.7
S003,2025-11-01,17,1333.1,1165.78,10.85,32.24,4.11,105.04,124.01,0.21,83.6,13.0
S003,2025-12-01,18,1030.0,1112.95,16.66,22.26,2.64,87.1,133.04,0.19,83.5,13.4
